Designator,Mid X,Mid Y,Rotation,Layer
J1,-179.2275,6.734,180.0,top
LED1,-179.5815,-38.493,180.0,bottom
LED10,-197.6315,-4.393,0.0,bottom
LED2,-197.6315,-38.493,180.0,bottom
LED3,-197.6315,-21.443,180.0,bottom
LED4,-215.6815,-21.443,180.0,bottom
LED5,-233.7315,-21.443,180.0,bottom
LED6,-251.7815,-21.443,180.0,bottom
LED7,-251.7815,-4.393,0.0,bottom
LED8,-233.7315,-4.393,0.0,bottom
LED9,-215.6815,-4.393,0.0,bottom
PSW1,-212.134217,-30.712148,-45.0,top
RSW1,-208.3549,-26.9948,135.0,top
SW1,-251.7815,0.307,0.0,top
SW10,-179.5815,-33.793,0.0,top
SW2,-233.7315,0.307,0.0,top
SW3,-215.6815,0.307,0.0,top
SW4,-197.6315,0.307,0.0,top
SW5,-251.7815,-16.743,0.0,top
SW6,-233.7315,-16.743,0.0,top
SW7,-215.6815,-16.743,0.0,top
SW8,-197.6315,-16.743,0.0,top
SW9,-197.6315,-33.793,0.0,top
U1,-179.2275,-10.034,0.0,top
